Cidade,Sim,Não,Total,Doenças
LAGOA FORMOSA,3,39,42,infarto_mio
LAGOA GRANDE,1,4,5,infarto_mio
LAGOA SANTA,-,21,21,infarto_mio
LAMBARI,9,119,128,infarto_mio
LARANJAL,-,7,7,infarto_mio
LASSANCE,-,4,4,infarto_mio
LAVRAS,8,68,76,infarto_mio
LEANDRO FERREIRA,-,13,13,infarto_mio
LEOPOLDINA,-,36,36,infarto_mio
LIMA DUARTE,-,31,31,infarto_mio
LIMEIRA DO OESTE,-,5,5,infarto_mio
LONTRA,-,1,1,infarto_mio
LUISBURGO,1,14,15,infarto_mio
LUZ,-,41,41,infarto_mio
MACHADO,2,189,191,infarto_mio
MADRE DE DEUS DE MINAS,-,15,15,infarto_mio
MANGA,-,13,13,infarto_mio
MANHUACU,3,41,44,infarto_mio
MANHUMIRIM,1,52,53,infarto_mio
MANTENA,2,46,48,infarto_mio
MARAVILHAS,-,8,8,infarto_mio
MAR DE ESPANHA,-,19,19,infarto_mio
MARIA DA FE,6,86,92,infarto_mio
MARIANA,1,83,84,infarto_mio
MARIPA DE MINAS,-,1,1,infarto_mio
MARLIERIA,-,14,14,infarto_mio
MARMELOPOLIS,1,35,36,infarto_mio
MARTINHO CAMPOS,2,51,53,infarto_mio
MATERLANDIA,-,5,5,infarto_mio
MATEUS LEME,1,125,126,infarto_mio
MATIAS BARBOSA,1,34,35,infarto_mio
MATIAS CARDOSO,-,8,8,infarto_mio
MATO VERDE,-,5,5,infarto_mio
MATOZINHOS,-,7,7,infarto_mio
MATUTINA,-,3,3,infarto_mio
MEDEIROS,-,2,2,infarto_mio
MEDINA,-,9,9,infarto_mio
MENDES PIMENTEL,-,5,5,infarto_mio
MERCES,1,21,22,infarto_mio
MESQUITA,-,4,4,infarto_mio
MINAS NOVAS,-,15,15,infarto_mio
MINDURI,-,15,15,infarto_mio
MIRABELA,-,9,9,infarto_mio
MIRADOURO,1,5,6,infarto_mio
MIRAI,-,25,25,infarto_mio
MIRAVANIA,-,1,1,infarto_mio
MOEDA,-,38,38,infarto_mio
MOEMA,-,9,9,infarto_mio
MONJOLOS,2,4,6,infarto_mio
MONTE ALEGRE DE MINAS,-,35,35,infarto_mio
MONTE AZUL,-,34,34,infarto_mio
MONTE BELO,-,37,37,infarto_mio
MONTE CARMELO,4,169,173,infarto_mio
MONTE SANTO DE MINAS,4,92,96,infarto_mio
MONTES CLAROS,11,483,494,infarto_mio
MONTE SIAO,3,121,124,infarto_mio
MONTEZUMA,-,1,1,infarto_mio
MORADA NOVA DE MINAS,-,45,45,infarto_mio
MORRO DO PILAR,-,1,1,infarto_mio
MUNHOZ,4,22,26,infarto_mio
MURIAE,3,88,91,infarto_mio
MUTUM,1,4,5,infarto_mio
MUZAMBINHO,-,29,29,infarto_mio
NACIP RAYDAN,-,11,11,infarto_mio
NANUQUE,1,32,33,infarto_mio
NAQUE,-,29,29,infarto_mio
NATERCIA,-,13,13,infarto_mio
NAZARENO,1,23,24,infarto_mio
NEPOMUCENO,1,69,70,infarto_mio
NINHEIRA,-,1,1,infarto_mio
NOVA BELEM,-,5,5,infarto_mio
NOVA ERA,1,7,8,infarto_mio
NOVA LIMA,3,212,215,infarto_mio
NOVA MODICA,-,3,3,infarto_mio
NOVA PORTEIRINHA,-,3,3,infarto_mio
NOVA RESENDE,2,35,37,infarto_mio
NOVA SERRANA,1,181,182,infarto_mio
NOVO CRUZEIRO,-,12,12,infarto_mio
NOVORIZONTE,-,8,8,infarto_mio
OLARIA,-,6,6,infarto_mio
OLIMPIO NORONHA,-,4,4,infarto_mio
OLIVEIRA,2,84,86,infarto_mio
OLIVEIRA FORTES,-,6,6,infarto_mio
ONCA DE PITANGUI,-,12,12,infarto_mio
ORATORIOS,-,3,3,infarto_mio
ORIZANIA,-,3,3,infarto_mio
OURO BRANCO,1,58,59,infarto_mio
OURO FINO,3,86,89,infarto_mio
OURO PRETO,4,273,277,infarto_mio
OURO VERDE DE MINAS,-,1,1,infarto_mio
PADRE PARAISO,-,4,4,infarto_mio
PAINEIRAS,-,8,8,infarto_mio
PAINS,1,16,17,infarto_mio
PAI PEDRO,-,4,4,infarto_mio
PAIVA,-,6,6,infarto_mio
PALMA,-,9,9,infarto_mio
PALMOPOLIS,-,8,8,infarto_mio
PAPAGAIOS,-,14,14,infarto_mio
PARACATU,-,64,64,infarto_mio
PARA DE MINAS,15,476,491,infarto_mio
PARAISOPOLIS,-,93,93,infarto_mio
PARAOPEBA,-,10,10,infarto_mio
PASSA-VINTE,-,4,4,infarto_mio
PASSOS,3,228,231,infarto_mio
PATOS DE MINAS,15,289,304,infarto_mio
PATROCINIO,3,90,93,infarto_mio
PAULA CANDIDO,-,44,44,infarto_mio
PECANHA,1,2,3,infarto_mio
PEDRA AZUL,-,2,2,infarto_mio
PEDRA DO ANTA,-,4,4,infarto_mio
PEDRA DOURADA,-,1,1,infarto_mio
PEDRALVA,-,62,62,infarto_mio
PEDRAS DE MARIA DA CRUZ,-,1,1,infarto_mio
PEDRINOPOLIS,-,3,3,infarto_mio
PEDRO LEOPOLDO,2,25,27,infarto_mio
PEQUI,-,11,11,infarto_mio
PERDIGAO,-,17,17,infarto_mio
PERDIZES,1,54,55,infarto_mio
PERDOES,1,30,31,infarto_mio
PERIQUITO,-,30,30,infarto_mio
PESCADOR,1,5,6,infarto_mio
PIAU,-,8,8,infarto_mio
PIEDADE DE CARATINGA,-,34,34,infarto_mio
PIEDADE DE PONTE NOVA,-,11,11,infarto_mio
PIEDADE DO RIO GRANDE,-,3,3,infarto_mio
PIEDADE DOS GERAIS,-,9,9,infarto_mio
PIMENTA,2,20,22,infarto_mio
PINGO-D'AGUA,-,4,4,infarto_mio
PIRACEMA,-,7,7,infarto_mio
PIRANGA,-,23,23,infarto_mio
PIRANGUCU,-,43,43,infarto_mio
PIRANGUINHO,1,85,86,infarto_mio
PIRAPETINGA,-,21,21,infarto_mio
PIRAPORA,1,14,15,infarto_mio
PIRAUBA,-,17,17,infarto_mio
PITANGUI,6,115,121,infarto_mio
PIUMHI,4,136,140,infarto_mio
PLANURA,-,28,28,infarto_mio
POCO FUNDO,-,85,85,infarto_mio
POCOS DE CALDAS,22,761,783,infarto_mio
POMPEU,2,40,42,infarto_mio
PONTE NOVA,6,143,149,infarto_mio
PORTEIRINHA,3,32,35,infarto_mio
PORTO FIRME,-,4,4,infarto_mio
POTE,1,22,23,infarto_mio
POUSO ALEGRE,17,472,489,infarto_mio
POUSO ALTO,-,18,18,infarto_mio
PRADOS,-,8,8,infarto_mio
PRATA,1,27,28,infarto_mio
PRATAPOLIS,-,22,22,infarto_mio
PRATINHA,-,8,8,infarto_mio
PRESIDENTE BERNARDES,-,4,4,infarto_mio
PRESIDENTE JUSCELINO,-,7,7,infarto_mio
PRESIDENTE KUBITSCHEK,-,4,4,infarto_mio
PRUDENTE DE MORAIS,2,9,11,infarto_mio
QUARTEL GERAL,-,9,9,infarto_mio
QUELUZITO,-,2,2,infarto_mio
RAPOSOS,-,27,27,infarto_mio
RAUL SOARES,-,16,16,infarto_mio
RECREIO,-,13,13,infarto_mio
RESENDE COSTA,-,31,31,infarto_mio
RESPLENDOR,3,28,31,infarto_mio
RESSAQUINHA,-,7,7,infarto_mio
RIACHINHO,-,11,11,infarto_mio
RIACHO DOS MACHADOS,-,2,2,infarto_mio
RIBEIRAO DAS NEVES,6,314,320,infarto_mio
RIO ACIMA,1,4,5,infarto_mio
RIO CASCA,-,18,18,infarto_mio
RIO DOCE,-,14,14,infarto_mio
RIO DO PRADO,-,1,1,infarto_mio
RIO ESPERA,-,2,2,infarto_mio
RIO NOVO,-,7,7,infarto_mio
RIO PARDO DE MINAS,-,59,59,infarto_mio
RIO PIRACICABA,-,12,12,infarto_mio
RIO POMBA,2,88,90,infarto_mio
RIO PRETO,-,1,1,infarto_mio
RIO VERMELHO,-,2,2,infarto_mio
RITAPOLIS,-,11,11,infarto_mio
RODEIRO,-,2,2,infarto_mio
ROMARIA,-,11,11,infarto_mio
SABARA,6,180,186,infarto_mio
SABINOPOLIS,-,20,20,infarto_mio
SACRAMENTO,-,69,69,infarto_mio
SALINAS,-,27,27,infarto_mio
SALTO DA DIVISA,-,7,7,infarto_mio
SANTA BARBARA,1,70,71,infarto_mio
SANTA BARBARA DO LESTE,-,13,13,infarto_mio
SANTA BARBARA DO MONTE VERDE,-,2,2,infarto_mio
SANTA BARBARA DO TUGURIO,-,6,6,infarto_mio
SANTA CRUZ DE MINAS,-,8,8,infarto_mio
SANTA CRUZ DO ESCALVADO,1,3,4,infarto_mio
SANTA JULIANA,1,25,26,infarto_mio
SANTA LUZIA,2,63,65,infarto_mio
SANTA MARGARIDA,1,51,52,infarto_mio
SANTA MARIA DE ITABIRA,-,11,11,infarto_mio
SANTA MARIA DO SALTO,-,2,2,infarto_mio
SANTA MARIA DO SUACUI,-,7,7,infarto_mio
SANTANA DE PIRAPAMA,-,4,4,infarto_mio
SANTANA DO GARAMBEU,1,2,3,infarto_mio
SANTANA DO JACARE,-,17,17,infarto_mio
SANTANA DO PARAISO,3,76,79,infarto_mio
SANTANA DOS MONTES,-,11,11,infarto_mio
SANTA RITA DE CALDAS,3,42,45,infarto_mio
SANTA RITA DE JACUTINGA,-,10,10,infarto_mio
SANTA RITA DE MINAS,-,6,6,infarto_mio
SANTA RITA DE IBITIPOCA,1,6,7,infarto_mio
SANTA RITA DO SAPUCAI,1,195,196,infarto_mio
SANTA ROSA DA SERRA,-,19,19,infarto_mio
SANTA VITORIA,1,118,119,infarto_mio
SANTO ANTONIO DO AMPARO,-,13,13,infarto_mio
SANTO ANTONIO DO AVENTUREIRO,-,8,8,infarto_mio
SANTO ANTONIO DO GRAMA,1,17,18,infarto_mio
SANTO ANTONIO DO ITAMBE,-,21,21,infarto_mio
SANTO ANTONIO DO JACINTO,-,3,3,infarto_mio
SANTO ANTONIO DO MONTE,1,40,41,infarto_mio
SANTO ANTONIO DO RETIRO,-,2,2,infarto_mio
SANTO ANTONIO DO RIO ABAIXO,-,2,2,infarto_mio
SANTO HIPOLITO,-,1,1,infarto_mio
SANTOS DUMONT,1,10,11,infarto_mio
SAO BENTO ABADE,-,11,11,infarto_mio
SAO BRAS DO SUACUI,-,26,26,infarto_mio
SAO DOMINGOS DAS DORES,2,10,12,infarto_mio
SAO DOMINGOS DO PRATA,2,37,39,infarto_mio
SAO FELIX DE MINAS,-,8,8,infarto_mio
SAO FRANCISCO,-,13,13,infarto_mio
SAO FRANCISCO DE SALES,2,18,20,infarto_mio
SAO GERALDO,-,14,14,infarto_mio
SAO GERALDO DO BAIXIO,-,4,4,infarto_mio
SAO GONCALO DO ABAETE,-,8,8,infarto_mio
SAO GONCALO DO RIO ABAIXO,-,15,15,infarto_mio
SAO GONCALO DO SAPUCAI,8,87,95,infarto_mio
SAO GOTARDO,3,74,77,infarto_mio
SAO JOAO BATISTA DO GLORIA,-,50,50,infarto_mio
SAO JOAO DA MATA,-,8,8,infarto_mio
SAO JOAO DA PONTE,-,35,35,infarto_mio
SAO JOAO DEL REI,4,166,170,infarto_mio
SAO JOAO DO MANHUACU,-,15,15,infarto_mio
SAO JOAO DO ORIENTE,-,35,35,infarto_mio
SAO JOAO DO PARAISO,-,10,10,infarto_mio
SAO JOAO NEPOMUCENO,3,72,75,infarto_mio
SAO JOAQUIM DE BICAS,1,43,44,infarto_mio
SAO JOSE DA BARRA,1,22,23,infarto_mio
SAO JOSE DA LAPA,-,13,13,infarto_mio
SAO JOSE DA SAFIRA,-,19,19,infarto_mio
SAO JOSE DA VARGINHA,-,15,15,infarto_mio
SAO JOSE DO ALEGRE,-,6,6,infarto_mio
SAO JOSE DO DIVINO,-,17,17,infarto_mio
SAO JOSE DO GOIABAL,-,9,9,infarto_mio
SAO JOSE DO JACURI,-,1,1,infarto_mio
SAO LOURENCO,5,227,232,infarto_mio
SAO MIGUEL DO ANTA,-,19,19,infarto_mio
SAO PEDRO DA UNIAO,1,15,16,infarto_mio
SAO PEDRO DOS FERROS,2,27,29,infarto_mio
SAO PEDRO DO SUACUI,-,5,5,infarto_mio
SAO SEBASTIAO DA BELA VISTA,-,17,17,infarto_mio
SAO SEBASTIAO DA VARGEM ALEGRE,-,7,7,infarto_mio
SAO SEBASTIAO DO ANTA,-,1,1,infarto_mio
SAO SEBASTIAO DO OESTE,-,5,5,infarto_mio
SAO SEBASTIAO DO PARAISO,6,394,400,infarto_mio
SAO SEBASTIAO DO RIO VERDE,-,9,9,infarto_mio
SAO TIAGO,1,79,80,infarto_mio
SAO TOMAS DE AQUINO,-,15,15,infarto_mio
SAO THOME DAS LETRAS,1,1,2,infarto_mio
SAO VICENTE DE MINAS,-,10,10,infarto_mio
SAPUCAI-MIRIM,1,49,50,infarto_mio
SARDOA,-,17,17,infarto_mio
SARZEDO,8,61,69,infarto_mio
SENADOR AMARAL,-,39,39,infarto_mio
SENADOR FIRMINO,-,1,1,infarto_mio
SENADOR JOSE BENTO,-,13,13,infarto_mio
SENADOR MODESTINO GONCALVES,-,10,10,infarto_mio
SENHORA DE OLIVEIRA,-,9,9,infarto_mio
SENHORA DO PORTO,-,8,8,infarto_mio
SENHORA DOS REMEDIOS,1,27,28,infarto_mio
SERITINGA,-,7,7,infarto_mio
SERRA AZUL DE MINAS,-,5,5,infarto_mio
SERRA DA SAUDADE,-,4,4,infarto_mio
SERRA DOS AIMORES,-,5,5,infarto_mio
SERRA DO SALITRE,-,10,10,infarto_mio
SERRANIA,-,45,45,infarto_mio
SERRANOS,-,1,1,infarto_mio
SERRO,-,24,24,infarto_mio
SILVEIRANIA,-,2,2,infarto_mio
SILVIANOPOLIS,-,19,19,infarto_mio
SOBRALIA,-,1,1,infarto_mio
SOLEDADE DE MINAS,-,30,30,infarto_mio
TABULEIRO,-,5,5,infarto_mio
TAPIRAI,-,11,11,infarto_mio
TAQUARACU DE MINAS,-,1,1,infarto_mio
TEIXEIRAS,-,20,20,infarto_mio
TEOFILO OTONI,-,113,113,infarto_mio
TIMOTEO,-,1,1,infarto_mio
TIRADENTES,-,23,23,infarto_mio
TIROS,-,5,5,infarto_mio
TOCANTINS,1,19,20,infarto_mio
TOCOS DO MOJI,-,16,16,infarto_mio
TOLEDO,-,23,23,infarto_mio
TOMBOS,-,15,15,infarto_mio
TRES CORACOES,1,20,21,infarto_mio
TRES PONTAS,3,267,270,infarto_mio
TURMALINA,2,22,24,infarto_mio
TURVOLANDIA,-,28,28,infarto_mio
UBA,4,217,221,infarto_mio
UBAI,-,4,4,infarto_mio
UBAPORANGA,1,10,11,infarto_mio
UBERABA,65,1833,1898,infarto_mio
UBERLANDIA,38,1109,1147,infarto_mio
UMBURATIBA,-,6,6,infarto_mio
UNAI,5,210,215,infarto_mio
UNIAO DE MINAS,-,9,9,infarto_mio
URUANA DE MINAS,-,5,5,infarto_mio
URUCANIA,-,33,33,infarto_mio
VARGEM ALEGRE,-,18,18,infarto_mio
VARGEM GRANDE DO RIO PARDO,-,1,1,infarto_mio
VARGINHA,9,186,195,infarto_mio
VARJAO DE MINAS,1,9,10,infarto_mio
VARZEA DA PALMA,-,64,64,infarto_mio
VARZELANDIA,-,5,5,infarto_mio
VAZANTE,2,11,13,infarto_mio
VERDELANDIA,-,5,5,infarto_mio
VERISSIMO,-,3,3,infarto_mio
VERMELHO NOVO,3,29,32,infarto_mio
VESPASIANO,1,130,131,infarto_mio
VICOSA,-,259,259,infarto_mio
VIEIRAS,-,3,3,infarto_mio
VIRGEM DA LAPA,-,5,5,infarto_mio
VIRGINIA,-,1,1,infarto_mio
VOLTA GRANDE,-,2,2,infarto_mio
WENCESLAU BRAZ,-,7,7,infarto_mio
Total,1093,35542,36635,infarto_mio
ABADIA DOS DOURADOS,-,2,2,renal
ABAETE,5,91,96,renal
ACAIACA,1,4,5,renal
ACUCENA,2,22,24,renal
AGUA BOA,-,1,1,renal
AGUA COMPRIDA,-,16,16,renal
AGUANIL,-,1,1,renal
AGUAS FORMOSAS,-,11,11,renal
AGUAS VERMELHAS,-,1,1,renal
AIMORES,2,31,33,renal
AIURUOCA,1,15,16,renal
ALAGOA,-,8,8,renal
ALBERTINA,-,8,8,renal
ALEM PARAIBA,4,214,218,renal
ALFENAS,4,133,137,renal
ALFREDO VASCONCELOS,-,11,11,renal
ALPERCATA,4,5,9,renal
ALPINOPOLIS,4,54,58,renal
ALTEROSA,3,58,61,renal
ALTO CAPARAO,-,1,1,renal
ALTO RIO DOCE,1,38,39,renal
ALVORADA DE MINAS,-,2,2,renal
AMPARO DO SERRA,-,4,4,renal
ANDRADAS,33,431,464,renal
CACHOEIRA DE PAJEU,1,3,4,renal
ANDRELANDIA,2,41,43,renal
ANGELANDIA,1,11,12,renal
ANTONIO CARLOS,2,50,52,renal
ANTONIO DIAS,-,2,2,renal
ANTONIO PRADO DE MINAS,-,5,5,renal
ARACAI,1,6,7,renal
ARACITABA,-,1,1,renal
ARACUAI,2,41,43,renal
ARAGUARI,14,323,337,renal
ARANTINA,-,1,1,renal
ARAPONGA,-,12,12,renal
ARAPORA,1,44,45,renal
ARAPUA,-,5,5,renal
ARAUJOS,-,11,11,renal
ARAXA,28,225,253,renal
ARCEBURGO,-,8,8,renal
ARCOS,6,112,118,renal
AREADO,3,21,24,renal
ARGIRITA,-,18,18,renal
ARICANDUVA,-,5,5,renal
ARINOS,7,11,18,renal
ASTOLFO DUTRA,2,40,42,renal
AUGUSTO DE LIMA,3,14,17,renal
BAEPENDI,8,86,94,renal
BALDIM,-,5,5,renal
BAMBUI,-,13,13,renal
BANDEIRA,-,3,3,renal
BARAO DE COCAIS,-,28,28,renal
BARAO DE MONTE ALTO,1,24,25,renal
BARBACENA,5,124,129,renal
BARRA LONGA,-,1,1,renal
BARROSO,16,59,75,renal
BELA VISTA DE MINAS,1,5,6,renal
BELO HORIZONTE,28,644,672,renal
BELO ORIENTE,6,63,69,renal
BELO VALE,-,4,4,renal
BERILO,-,3,3,renal
BERTOPOLIS,-,2,2,renal
BETIM,33,749,782,renal
BIAS FORTES,1,20,21,renal
BICAS,1,60,61,renal
BOA ESPERANCA,10,385,395,renal
BOCAIUVA,3,69,72,renal
BOM DESPACHO,5,173,178,renal
BOM JESUS DA PENHA,1,18,19,renal
BOM JESUS DO AMPARO,-,3,3,renal
BOM JESUS DO GALHO,-,5,5,renal
BOM REPOUSO,-,13,13,renal
BOM SUCESSO,2,86,88,renal
BONFIM,-,27,27,renal
BONFINOPOLIS DE MINAS,-,7,7,renal
BONITO DE MINAS,-,3,3,renal
BORDA DA MATA,8,118,126,renal
BOTELHOS,-,6,6,renal
BRASILANDIA DE MINAS,2,16,18,renal
BRASILIA DE MINAS,3,15,18,renal
BRAS PIRES,-,1,1,renal
BRAUNAS,-,3,3,renal
BRAZOPOLIS,6,93,99,renal
BRUMADINHO,1,111,112,renal
BUENO BRANDAO,-,43,43,renal
BUENOPOLIS,1,18,19,renal
BUGRE,1,17,18,renal
BURITIS,1,40,41,renal
BURITIZEIRO,2,15,17,renal
CABO VERDE,2,22,24,renal
CACHOEIRA DA PRATA,-,32,32,renal
CACHOEIRA DE MINAS,1,34,35,renal
CACHOEIRA DOURADA,1,9,10,renal
CAETANOPOLIS,-,11,11,renal
CAETE,5,63,68,renal
CAIANA,-,4,4,renal
CAJURI,-,12,12,renal
CALDAS,3,62,65,renal
CAMACHO,-,9,9,renal
CAMANDUCAIA,5,95,100,renal
CAMBUI,8,46,54,renal
CAMBUQUIRA,-,7,7,renal
CAMPANHA,1,75,76,renal
CAMPINA VERDE,4,17,21,renal
CAMPO BELO,11,225,236,renal
CAMPO FLORIDO,7,43,50,renal
CAMPOS ALTOS,-,37,37,renal
CAMPOS GERAIS,-,11,11,renal
CANAA,-,12,12,renal
CANAPOLIS,4,37,41,renal
CANA VERDE,-,5,5,renal
CANDEIAS,2,74,76,renal
CANTAGALO,-,3,3,renal
CAPARAO,-,6,6,renal
CAPELA NOVA,1,10,11,renal
CAPELINHA,-,12,12,renal
CAPETINGA,-,15,15,renal
CAPIM BRANCO,-,13,13,renal
CAPINOPOLIS,6,53,59,renal
CAPITAO ANDRADE,-,3,3,renal
CAPITAO ENEAS,1,3,4,renal
CAPITOLIO,-,13,13,renal
CAPUTIRA,-,11,11,renal
CARAI,-,3,3,renal
CARANAIBA,-,4,4,renal
CARANDAI,1,16,17,renal
CARANGOLA,3,48,51,renal
CARATINGA,4,328,332,renal
CARBONITA,1,13,14,renal
CAREACU,1,11,12,renal
CARLOS CHAGAS,3,45,48,renal
CARMESIA,-,23,23,renal
CARMO DA CACHOEIRA,-,7,7,renal
CARMO DA MATA,-,2,2,renal
CARMO DE MINAS,-,23,23,renal
CARMO DO CAJURU,4,53,57,renal
CARMO DO PARANAIBA,7,105,112,renal
CARMOPOLIS DE MINAS,2,69,71,renal
CARNEIRINHO,4,41,45,renal
CARRANCAS,-,5,5,renal
CARVALHOS,-,8,8,renal
CASCALHO RICO,-,2,2,renal
CASSIA,9,74,83,renal
CONCEICAO DA BARRA DE MINAS,-,15,15,renal
CATAGUASES,3,378,381,renal
CATAS ALTAS,2,8,10,renal
CATAS ALTAS DA NORUEGA,-,5,5,renal
CATUJI,-,4,4,renal
CAXAMBU,2,12,14,renal
CEDRO DO ABAETE,-,4,4,renal
CENTRAL DE MINAS,-,11,11,renal
CENTRALINA,4,40,44,renal
CHACARA,-,7,7,renal
CHALE,1,11,12,renal
CHAPADA DO NORTE,-,1,1,renal
CIPOTANEA,-,11,11,renal
CLARAVAL,2,11,13,renal
CLAUDIO,3,67,70,renal
COIMBRA,2,20,22,renal
COLUNA,-,18,18,renal
COMENDADOR GOMES,1,10,11,renal
COMERCINHO,-,1,1,renal
CONCEICAO DA APARECIDA,2,31,33,renal
CONCEICAO DAS PEDRAS,-,2,2,renal
CONCEICAO DAS ALAGOAS,3,66,69,renal
CONCEICAO DO PARA,1,14,15,renal
CONCEICAO DOS OUROS,-,35,35,renal
CONEGO MARINHO,-,19,19,renal
CONFINS,-,9,9,renal
CONGONHAL,-,21,21,renal
CONQUISTA,3,34,37,renal
CONSELHEIRO LAFAIETE,19,325,344,renal
CONSELHEIRO PENA,-,61,61,renal
CONSOLACAO,-,30,30,renal
CONTAGEM,36,516,552,renal
COQUEIRAL,-,22,22,renal
CORDISBURGO,2,14,16,renal
CORDISLANDIA,-,10,10,renal
COROACI,-,6,6,renal
COROMANDEL,10,77,87,renal
CORONEL FABRICIANO,20,305,325,renal
CORONEL MURTA,1,5,6,renal
CORONEL PACHECO,-,7,7,renal
CORREGO DO BOM JESUS,-,6,6,renal
CORREGO FUNDO,4,65,69,renal
COUTO DE MAGALHAES DE MINAS,-,2,2,renal
CRISTAIS,2,17,19,renal
CRISTIANO OTONI,-,7,7,renal
CRISTINA,7,154,161,renal
CRUCILANDIA,-,3,3,renal
CRUZEIRO DA FORTALEZA,-,31,31,renal
CRUZILIA,2,32,34,renal
CURVELO,18,334,352,renal
DATAS,-,7,7,renal
DELFIM MOREIRA,1,46,47,renal
DELFINOPOLIS,-,4,4,renal
DELTA,1,30,31,renal
DESCOBERTO,-,3,3,renal
DESTERRO DE ENTRE RIOS,6,13,19,renal
DESTERRO DO MELO,-,5,5,renal
DIOGO DE VASCONCELOS,-,9,9,renal
DIONISIO,6,41,47,renal
DIVINO,2,13,15,renal
DIVINOLANDIA DE MINAS,-,5,5,renal
DIVINOPOLIS,13,370,383,renal
DIVISA ALEGRE,-,1,1,renal
DIVISA NOVA,-,13,13,renal
DIVISOPOLIS,1,4,5,renal
DOM CAVATI,1,13,14,renal
DOM JOAQUIM,1,1,2,renal
DOM SILVERIO,1,12,13,renal
DONA EUSEBIA,2,8,10,renal
DORES DE CAMPOS,10,52,62,renal
DORES DE GUANHAES,-,10,10,renal
DORES DO INDAIA,3,32,35,renal
DORES DO TURVO,1,2,3,renal
DOURADOQUARA,-,3,3,renal
DURANDE,-,6,6,renal
ELOI MENDES,-,2,2,renal
ENTRE FOLHAS,-,6,6,renal
ENTRE RIOS DE MINAS,-,20,20,renal
ERVALIA,-,11,11,renal
ESMERALDAS,7,49,56,renal
ESPERA FELIZ,6,66,72,renal
ESPINOSA,-,24,24,renal
ESPIRITO SANTO DO DOURADO,1,16,17,renal
ESTIVA,3,37,40,renal
ESTRELA DALVA,1,13,14,renal
ESTRELA DO INDAIA,1,20,21,renal
ESTRELA DO SUL,-,9,9,renal
EUGENOPOLIS,3,18,21,renal
EWBANK DA CAMARA,2,6,8,renal
EXTREMA,7,230,237,renal
FAMA,-,1,1,renal
FARIA LEMOS,-,1,1,renal
FELICIO DOS SANTOS,-,2,2,renal
SAO GONCALO DO RIO PRETO,-,4,4,renal
FELISBURGO,-,3,3,renal
FELIXLANDIA,-,2,2,renal
FERNANDES TOURINHO,-,8,8,renal
FERVEDOURO,-,15,15,renal
FORMIGA,36,239,275,renal
FORTALEZA DE MINAS,3,35,38,renal
FORTUNA DE MINAS,-,12,12,renal
FRANCISCO BADARO,1,13,14,renal
FRANCISCO DUMONT,-,2,2,renal
FRANCISCO SA,-,10,10,renal
FREI INOCENCIO,5,13,18,renal
FREI LAGONEGRO,1,-,1,renal
FRONTEIRA,-,7,7,renal
FRONTEIRA DOS VALES,1,7,8,renal
FRUTA DE LEITE,2,2,4,renal
FRUTAL,11,101,112,renal
FUNILANDIA,-,3,3,renal
GALILEIA,2,11,13,renal
GAMELEIRAS,-,3,3,renal
GOIANA,-,1,1,renal
GONCALVES,2,31,33,renal
GOUVEIA,1,8,9,renal
GOVERNADOR VALADARES,52,930,982,renal
GRAO MOGOL,-,5,5,renal
GRUPIARA,-,16,16,renal
GUANHAES,8,246,254,renal
GUAPE,3,91,94,renal
GUARACIAMA,2,9,11,renal
GUARANESIA,4,71,75,renal
GUARANI,1,23,24,renal
GUARARA,-,3,3,renal
GUARDA-MOR,-,14,14,renal
GUAXUPE,31,191,222,renal
GUIDOVAL,3,33,36,renal
GUIMARANIA,-,7,7,renal
GURINHATA,1,4,5,renal
HELIODORA,4,27,31,renal
IAPU,-,13,13,renal
IBERTIOGA,3,18,21,renal
IBIA,-,36,36,renal
IBIRACI,2,29,31,renal
IBIRITE,14,301,315,renal
IBITIURA DE MINAS,-,38,38,renal
IBITURUNA,-,2,2,renal
IGARAPE,11,85,96,renal
IGARATINGA,1,29,30,renal
IGUATAMA,5,8,13,renal
ILICINEA,4,36,40,renal
IMBE DE MINAS,-,5,5,renal
INCONFIDENTES,-,25,25,renal
INDAIABIRA,-,15,15,renal
INDIANOPOLIS,-,6,6,renal
INHAPIM,1,97,98,renal
INIMUTABA,-,13,13,renal
IPABA,2,29,31,renal
IPANEMA,3,38,41,renal
IPATINGA,155,578,733,renal
IPUIUNA,-,90,90,renal
ITABIRA,4,220,224,renal
ITABIRINHA,-,6,6,renal
ITABIRITO,1,5,6,renal
ITACARAMBI,-,19,19,renal
ITAGUARA,1,22,23,renal
ITAIPE,-,4,4,renal
ITAJUBA,33,787,820,renal
ITAMARANDIBA,4,27,31,renal
ITAMARATI DE MINAS,3,53,56,renal
ITAMBACURI,1,19,20,renal
ITAMBE DO MATO DENTRO,-,1,1,renal
ITAMOGI,1,56,57,renal
ITAMONTE,1,17,18,renal
ITANHANDU,4,90,94,renal
ITANHOMI,4,28,32,renal
ITAOBIM,-,20,20,renal
ITAPAGIPE,4,56,60,renal
ITAPECERICA,3,14,17,renal
ITAPEVA,-,27,27,renal
ITATIAIUCU,-,26,26,renal
ITAU DE MINAS,4,139,143,renal
ITAUNA,17,148,165,renal
ITUETA,-,6,6,renal
ITUIUTABA,8,202,210,renal
ITUMIRIM,1,1,2,renal
ITURAMA,13,100,113,renal
ITUTINGA,2,16,18,renal
JABOTICATUBAS,1,25,26,renal
JACINTO,-,6,6,renal
